Date,Price,Open,High,Low,Vol,Change %
"Jan 19, 2024",79.4,79.4,79.4,79.4,0.00K,+0.89%
"Jan 18, 2024",78.7,78.65,78.75,78.65,0.02K,+0.22%
"Jan 17, 2024",78.53,78.53,78.53,78.53,0.03K,-4.18%
"Jan 16, 2024",81.96,82.5,83,82.5,0.01K,-2.03%
"Jan 15, 2024",83.66,83.66,83.66,83.66,0.00K,-3.28%
"Jan 12, 2024",86.5,86.5,86.5,86.5,0.01K,+1.47%
"Jan 11, 2024",85.25,85.25,85.25,85.25,0.01K,-1.29%
"Jan 10, 2024",86.36,86.75,86.75,86.75,0.01K,-0.25%
"Jan 09, 2024",86.58,86.58,86.58,86.58,0.01K,-0.97%
"Jan 08, 2024",87.43,90.5,90.5,90.5,0.01K,-6.32%
"Jan 05, 2024",93.33,93.2,93.2,93.2,0.01K,+1.06%
"Jan 04, 2024",92.35,92.35,92.35,92.35,0.01K,-0.08%
"Jan 03, 2024",92.42,92.42,92.42,92.42,0.00K,+2.75%
"Jan 02, 2024",89.95,89.95,89.95,89.95,0.01K,-3.91%
"Dec 29, 2023",93.61,93.61,93.61,93.61,,-2.02%
"Dec 28, 2023",95.54,95.54,95.54,95.54,0.01K,+1.16%
"Dec 27, 2023",94.44,94.44,94.44,94.44,,+2.51%
"Dec 22, 2023",92.13,92,92,92,0.00K,-0.89%
"Dec 21, 2023",92.96,91.8,93,91.8,0.02K,+4.51%
"Dec 20, 2023",88.95,87.5,87.5,87.4,0.01K,+3.96%
"Dec 19, 2023",85.56,85.75,85.75,85.75,0.00K,-5.31%
"Dec 18, 2023",90.36,90.36,90.36,90.36,0.01K,+3.65%
"Dec 15, 2023",87.18,87.18,87.18,87.18,0.01K,-2.58%
"Dec 14, 2023",89.49,90.5,90.5,90.25,0.01K,-1.15%
"Dec 13, 2023",90.53,90.53,90.53,90.53,0.02K,+0.87%
"Dec 12, 2023",89.75,89.05,89.5,89.05,0.10K,-1.65%
"Dec 11, 2023",91.26,91.26,91.26,91.26,0.02K,-5.09%
"Dec 08, 2023",96.15,98.5,98.5,97,0.01K,-3.07%
"Dec 07, 2023",99.2,98.5,98.5,98.5,0.00K,+1.74%
"Dec 06, 2023",97.5,97.1,97.1,97.1,0.01K,+1.62%
"Dec 05, 2023",95.95,95.95,95.95,95.95,0.02K,-3.81%
"Dec 04, 2023",99.75,99.75,99.75,99.75,0.07K,-4.07%
"Dec 01, 2023",103.98,103.98,103.98,103.98,0.06K,+2.16%
"Nov 30, 2023",101.78,101.25,101.5,101.25,0.05K,+0.52%
"Nov 29, 2023",101.25,103,103,101.5,0.03K,-3.09%
"Nov 28, 2023",104.48,107,107,103.75,0.08K,-1.95%
"Nov 27, 2023",106.56,106.56,106.56,106.56,0.08K,-4.22%
"Nov 24, 2023",111.25,110.75,111.75,110.75,0.03K,-0.22%
"Nov 23, 2023",111.5,108.5,109,108.25,0.01K,+3.26%
"Nov 22, 2023",107.98,109.25,109.5,107.25,0.02K,-1.06%
"Nov 21, 2023",109.14,108.25,111.25,108.25,0.01K,-2.26%
"Nov 20, 2023",111.66,112,112.65,111.5,0.03K,-0.08%
"Nov 17, 2023",111.75,111.75,111.75,111.75,0.04K,-0.98%
"Nov 16, 2023",112.86,112.86,112.86,112.86,0.03K,-2.69%
"Nov 15, 2023",115.98,115.98,115.98,115.98,0.01K,-0.69%
"Nov 14, 2023",116.79,114,114,114,0.01K,+1.82%
"Nov 13, 2023",114.7,114.7,114.7,114.7,0.05K,+0.73%
"Nov 10, 2023",113.87,113.87,113.87,113.87,0.01K,-1.41%
"Nov 09, 2023",115.5,113.5,113.5,113.5,0.01K,+3.80%
"Nov 08, 2023",111.27,111,111.89,111,0.05K,-1.02%
"Nov 07, 2023",112.42,111.35,111.5,111.35,0.01K,+0.02%
"Nov 06, 2023",112.4,114,114,114,0.03K,-3.61%
"Nov 03, 2023",116.61,116.61,116.61,116.61,0.01K,+0.33%
"Nov 02, 2023",116.23,115.5,115.5,115.5,0.02K,+0.97%
"Nov 01, 2023",115.11,115.5,115.5,115.5,0.05K,-1.37%
"Oct 31, 2023",116.71,116,116,116,0.02K,-5.11%
"Oct 30, 2023",123,123,123,123,0.00K,-0.28%
"Oct 27, 2023",123.34,123.75,124.25,123.75,0.03K,+0.69%
"Oct 26, 2023",122.49,122,123,122,0.02K,-0.01%
"Oct 25, 2023",122.5,122.5,122.5,122.5,0.03K,-2.12%
"Oct 24, 2023",125.15,128.25,128.25,128.25,0.02K,-2.91%
"Oct 23, 2023",128.9,125.5,127.25,125.5,0.03K,-0.46%
"Oct 20, 2023",129.5,132.5,132.5,130.65,0.02K,+0.06%
"Oct 19, 2023",129.42,124.5,125.5,124.5,0.03K,+0.24%
"Oct 18, 2023",129.11,127.7,127.7,127.7,0.02K,+1.86%
"Oct 17, 2023",126.75,126,126,124.85,0.05K,-0.44%
"Oct 16, 2023",127.31,132,132,132,0.02K,-4.64%
"Oct 13, 2023",133.5,132.75,133,132.75,0.03K,+2.53%
"Oct 12, 2023",130.2,127.25,130,127.25,0.04K,+5.05%
"Oct 11, 2023",123.94,124.25,124.25,124.25,0.06K,-2.05%
"Oct 10, 2023",126.53,120.25,126.25,120.25,0.03K,+6.52%
"Oct 09, 2023",118.79,116.99,117,116.99,0.15K,+5.16%
"Oct 06, 2023",112.96,111.25,112.5,111.25,0.01K,+1.54%
"Oct 05, 2023",111.25,111.25,111.25,111.25,0.01K,-1.77%
"Oct 04, 2023",113.25,113,113,113,0.01K,+0.64%
"Oct 03, 2023",112.53,112.53,112.53,112.53,0.04K,-1.55%
"Oct 02, 2023",114.3,115,115.35,114.3,0.09K,-2.89%
"Sep 29, 2023",117.7,117,117.25,117,0.03K,-0.47%
"Sep 28, 2023",118.25,120,120.5,118.25,0.03K,-0.21%
"Sep 27, 2023",118.5,118.75,118.75,118.75,0.01K,-0.84%
"Sep 26, 2023",119.5,121.5,121.5,119.5,0.02K,-3.51%
"Sep 25, 2023",123.85,123.75,124,123.75,0.02K,+2.53%
"Sep 22, 2023",120.79,120.25,121.8,120.25,0.01K,+0.09%
"Sep 21, 2023",120.68,119.25,120,119.25,0.01K,+0.57%
"Sep 20, 2023",120,120,120.25,120,0.01K,-0.71%
"Sep 19, 2023",120.86,120.86,120.86,120.86,0.02K,+0.16%
"Sep 18, 2023",120.67,122.75,122.75,122.75,0.01K,-2.68%
"Sep 15, 2023",123.99,123,124,123,0.02K,+0.40%
"Sep 14, 2023",123.5,123.5,123.5,123.5,0.01K,-0.48%
"Sep 13, 2023",124.1,124.1,124.1,124.1,0.03K,+2.24%
"Sep 12, 2023",121.38,121.38,121.38,121.38,0.00K,-1.41%
